OSM_ID,OSM_Type,Name,Latitude,Longitude,Category,cuisine,opening_hours,phone,website,wheelchair,outdoor_seating,smoking,addr_street,addr_housenumber,coord_group
n11824166269,node,La Liga Game Center (Gənclik),40.4017149,49.8548727,arcade,,24/7,,,,,,Fətəli Xan Xoyski prospekti,81,
n12719110925,node,LaLiga Game Center,40.3725836,49.8393226,arcade,,24/7,,,,,,Nizami küçəsi,66d,
n10901498089,node,Player Cyber Bar,40.3959105,49.822278,arcade,,,,https://www.instagram.com/playercyberbar/,,,,Həsən Əliyev küçəsi,174,
n12718352208,node,Qarabağ PlayStation,40.4016261,49.8543886,arcade,,24/7,,,,,,Fətəli Xan Xoyski prospekti,49,
n5280787608,node,41 Forty One Karaoke,40.37653,49.8512646,bar,,,,,,,,Nizami küçəsi,117,
n10302993992,node,Arena Pub,40.4365985,49.8044452,bar,,,,,,,,,,
n10302993973,node,Aristoktat Pub,40.4361749,49.8115229,bar,,,,,,,,,,
n12311452002,node,Bakılı,40.3735962,49.8408811,bar,,Mo-Sa 19:00-02:00; Su 19:00-00:00,+994 50 963 42 14,,,,,Tolstoy küçəsi,160,
n9812773603,node,Beer Point Pub,40.3714913,49.8451732,bar,,,,,,,,,,
n6005402565,node,Billionaire Lounge,40.3884063,49.8417383,bar,,,,,,,,Süleyman Rüstəm küçəsi,,
n5088008165,node,Black Jack Discoclub,40.3746168,49.8436893,bar,,,,,,,,Bülbül prospekti,,
n4367701894,node,Buddah Bar,40.3741744,49.8567525,bar,,,,,,,,Neftçilər pr.,,
n6237636686,node,Car club,40.4161341,49.8453693,bar,,,,,,,,,,
n6525264996,node,Cello,40.3640881,49.8323632,bar,,,,,,,,,,
n10244280059,node,City Pub,40.3840678,49.8221746,bar,,Mo-Su 16:00-02:00,,,,,,,,
n5787504555,node,Gazelli Art House Baku,40.3747242,49.844349,bar,,,,,,,,Lev Tolstoy küçəsi,172,
n10295737330,node,Gəmi Pub,40.4357431,49.8148026,bar,,,,,,,,,,
n2924258601,node,Harbour Tap & Grill,40.3759997,49.8613251,bar,,,,,,,,Neftchiler Ave,153,
n1896641348,node,Havana Club,40.3735917,49.8399869,bar,,,,,,,,,,
n13130253155,node,INN Vino Wine Bar,40.3748895,49.8489017,bar,,,,,,no,,,,
n9802448454,node,Marine pub,40.3744304,49.858489,bar,,,,,,,,,,
n4772688013,node,Mojo,40.3700666,49.8378935,bar,,,,,,,,,,
n4772688011,node,Nightoffice Club,40.3688267,49.8382575,bar,,22:00-06:00,,,,,yes,,,
n4441558798,node,Old Room,40.3722888,49.8356827,bar,,,,,,,,,,
n11905955283,node,Orange Groove,40.3758813,49.8505669,bar,,Th-Sa 21:00-02:00,,,,,,Nizami küçəsi,90a,
n1469182851,node,Otto Club,40.3690776,49.8382551,bar,,,,,,,yes,,,
n6016007585,node,Paulaner Baku,40.3810262,49.8795428,bar,,Mo-Su 16:00-02:00,(012) 497 97 97,,,,,Nobel prospekti,25B,
n1464990427,node,Phoenix Bar,40.3704528,49.8398144,bar,,Mo-Su 16:00-00:00,+994 70 333 30 31,,,,,Yusif Məmmədəliyev,10,
n9913353944,node,Pivnuşka,40.3506141,49.8333205,bar,,,,,,,,,,
n11881148563,node,Pub 900,40.3886515,49.8361229,bar,,,,,no,,,,,
n4428000196,node,Rəndir bar,40.3638078,49.8338145,bar,,,,,,,,,,
n1896641386,node,Secrets Karaoke & Cinema club,40.3745175,49.8391683,bar,,,,,,,,,,
n4427917711,node,Tahi Pub,40.3458015,49.8376995,bar,,,,,,,,,,
n9906550691,node,Tower Pub Pullman,40.3546306,49.8045498,bar,,,,,,,,,,
n7041772585,node,Tüstü Pub,40.4147835,49.8137037,bar,,Mo-Su 11:00-11:30,+994505115011,,,,,20 Yanvar küçəsi,40,
n4440872289,node,Vinni,40.3725572,49.8355635,bar,pasta;pizza;fish_and_chips;burger,Mo-Su 12:00-05:00,+994 559820432,,,,,Mirzə İbrahimov küçəsi,8,
n4772688012,node,Xəzər Kafe,40.3695229,49.8365865,bar,,,,,,,,İstiqlaliyyət küçəsi,,
n4772688010,node,Zclub Karaoke,40.3694797,49.8364215,bar,,,,,,,,İstiqlaliyyət küçəsi,,
n6178726885,node,bake&roll,40.3681097,49.8302022,bar,,,,,,no,,,,
n13123572395,node,yxsifov,40.3431421,49.8418443,bar,,,,,,,,,,
n4535844612,node,İmperia Bilyard Club,40.3837185,49.8242798,bar,,Mo-Su 11:00-5:00,+994 55 212 05 50,,,,,,,
n11885034269,node,🇨🇺Cubar,40.3677899,49.8376114,bar,american;caribbean;hot_dog;international;local;mexican,"Su-Th 15:00-23:00, Fr-Sa 17:00-02:00",,,,,,Əziz Əliyev küç.,15,
n13512202299,node,Ontop Bowling - Dəniz Mall,40.3584096,49.8377746,bowling,,Mo-Su 10:00-23:00,,,,,,"Mikayil Huseynov Ave, Baku",26b,
n4303019965,node,"""Buta"" Çay evi",40.3722525,49.8413664,cafe,,,,,,,,,,
n4303024311,node,"""Lik"" Çay Club",40.3722,49.8412281,cafe,,,,,,,,,,
n3678139463,node,1001 Gecə,40.3665659,49.8156747,cafe,,,,,,,,Suleyman Dadaşov,6,
n4316817496,node,145Çay Evi,40.3744648,49.8586666,cafe,teahouse,,,,,,,Neftçilər pr.,145,
n3335881766,node,211 Club,40.3977346,49.8361697,cafe,,,,,,,,,,
n4533906094,node,313 Çay Evi,40.4327325,49.8545655,cafe,,,,,,,,Abay Kunanbayev küç.,,
n11169796438,node,42 Coffee Roasters,40.3748696,49.8488209,cafe,coffee_shop,Mo-Su 08:00-23:00,+994 77 615 42 42,https://42coffeeroasters.az/,,yes,,Xaqani küçəsi,41,
