place_id,name,category,lat,lng,opening_hours,address,business_status,fetched_at,coverage
ChIJGXx1f39-MEARSJad4oy23Wc,Mərkəzi Nəbatat Bağı,tourist_attraction,40.3564696,49.8111427,,"AZ1004, 40 Badamdar şossesi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ0UkY3lZ9MEARGaABXQwv_fo,Qanlı Göl,tourist_attraction,40.3660644,49.8009339,,"9R82+C9, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJC_mSYAB_MEARvo_-aX-jvZ4,İlgar.Zeynav.1,tourist_attraction,40.341279,49.799238,,"8RR2+R3, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJrY1uFgB_MEARSmkrlHitKIk,Kolizey,tourist_attraction,40.355867,49.806552,,"9R34+XRM, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJI0GBbgB_MEARwt-T6B2_TuU,"Panoramic Baku Bibi Heybat, 20-district",tourist_attraction,40.3499862,49.8247795,,"8RXF+XWR, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJM2EO0P99MEARjDz4fIKDdBM,Dəniz Mall,shopping_mall,40.3587711,49.8368638,,"26b Mikayıl Hüseynov Prospekti, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJnZLDhC18MEARRi2mrQG3saY,Highland Park,tourist_attraction,40.3583718,49.8298987,,"9R5H+8XR, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJd2b2mTR8MEARl5incNuFjQE,Mini Venice,tourist_attraction,40.3611053,49.8357514,,"73 Neftçilər Prospekti, Bakı 1004, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJF7cbpdJ9MEARPiRadrIYYCA,Flame Towers,tourist_attraction,40.3596193,49.8261175,,"9R5G+RCX, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJe_AWHMp9MEARXrQ9JNlKX9c,Palace of the Shirvanshahs,tourist_attraction,40.3665603,49.8330422,,"9R8M+J6F, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJVVxumzN8MEARllg5OzZtcW4,Azerbaijan Carpet Museum,tourist_attraction,40.3599298,49.8358238,,"28 Mikayıl Hüseynov Prospekti, Bakı 1000, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJCU-1YCl9MEAR8LKekg6PMUg,Funicular Baku,tourist_attraction,40.3586221,49.828739,,"Alley of Martyrs, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJY94vLct9MEART--XQFdWh1g,Azneft Square,tourist_attraction,40.3624708,49.8355772,,"9R6P+X6P, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJpW8LFjB8MEARisk62ZfvFug,Baku Eye,tourist_attraction,40.3546518,49.8375531,,"9R3Q+V27, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJl8Peect9MEAR6VDjomuy2n4,Azerbaijan State Museum of Art,tourist_attraction,40.3631683,49.8317364,,"9/11 Niyazi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJA12MqC18MEARQnqmObS0qMQ,Martyrs' Lane,tourist_attraction,40.3566852,49.8282397,,"9R4H+M7H, Mehdi Hüseyn, Bakı 1006, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ-dKtrst9MEARJtAqWE8ATlo,Philarmonia Garden,tourist_attraction,40.3632761,49.833851300000006,,"Baku 1000, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJB9JX9Ml9MEAR0fE-shLQeHA,Museum of Miniature Books,tourist_attraction,40.3663494,49.8325413,,"9R8M+G2M, Baku 1000, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJAcP8yTV9MEARCNd9lA60Cf8,State Flag Square,tourist_attraction,40.3443522,49.8450243,,"8RVW+P2R, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJKQKgVKd-MEAR9hvsYR99X9g,Stone Chronicle Museum,tourist_attraction,40.3401602,49.8411566,,"8RRR+3F7, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ7wVPb8p9MEARz6h2H9V4rVM,Muhammad Mosque,tourist_attraction,40.3654728,49.834833,,"28 Kichik Qala, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ86NlaMh9MEARTGp2bjNijbc,Vuqarla xədicənin ilk görüş yeri,tourist_attraction,40.3603244,49.8332682,,"9R6M+47H Funicular, Shovkat Alakbarova, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ98qpbeR9MEAR7pUucjGR2r0,Swans Fountain,tourist_attraction,40.3624525,49.83642640000001,,"9R6P+XHM Azneft Square, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJX9LYCMp9MEARg18MuIH-OFY,Baylar Mosque,tourist_attraction,40.3661797,49.8344028,,"9R8M+FQC, Baku 1000, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJhfA1HAh9MEAR-4IQc1WnBSQ,Bakı Buxtası,tourist_attraction,40.3487636,49.8421872,,"8RXR+GV, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
