Wikidata_ID,Name,Latitude,Longitude,WKT,Sitelinks,Primary_Class,All_Types,inception,official_opening,height_m,architectural_style,architect,founded_by,creator,material_used,named_after,heritage_designation,image,description,enwiki_title,enwiki_url,core_zone,coord_group,type_tag
Q386864,Heydar Aliyev International Airport,40.4675,50.046666666,Point(50.046666666 40.4675),69,building,"commercial traffic aerodrome, international airport",,1933-01-01T00:00:00Z,,,,,,,Heydar Aliyev,,,"international airport in Baku, Azerbaijan",Heydar Aliyev International Airport,https://en.wikipedia.org/wiki/Heydar_Aliyev_International_Airport,False,,poi
Q338889,Palace of the Shirvanshahs,40.366111111,49.833333333,Point(49.833333333 40.366111111),49,building,palace,1500-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,,Azerbaigian-baku3.jpg,palace in Azerbaijan,Palace of the Shirvanshahs,https://en.wikipedia.org/wiki/Palace_of_the_Shirvanshahs,True,,poi
Q344569,Old City of Baku,40.365033,49.836,Point(49.836 40.365033),49,architectural structure,fortification,1200-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,,Walled City of Baku.jpg,"the historical core of Baku, World Heritage Site",Old City (Baku),https://en.wikipedia.org/wiki/Old_City_(Baku),True,,poi
Q842822,Maiden Tower,40.366166666,49.83725,Point(49.83725 40.366166666),48,monument,"monument, tower",1200-01-01T00:00:00Z,,29.5,Shirvan-Absheron architectural school,,,,stone,,,Baku Maiden Tower 004 7736.jpg,"12th-century monument in the Old City, Baku, Azerbaijan",Maiden Tower (Baku),https://en.wikipedia.org/wiki/Maiden_Tower_(Baku),True,,poi
Q2559128,National Art Museum of Azerbaijan,40.363174,49.831742,Point(49.831742 40.363174),48,museum,art museum,1936-01-01T00:00:00Z,1937-05-06T00:00:00Z,,,Nikolaus von der Nonne,,,,Rustam Mustafayev,cultural heritage monument in Azerbaijan,Palace of De Bur.JPG,аrt museum in Baku,National Art Museum of Azerbaijan,https://en.wikipedia.org/wiki/National_Art_Museum_of_Azerbaijan,True,,poi
Q4076080,Baku railway station,40.38020064,49.850390986,Point(49.850390986 40.38020064),48,building,railway station,,1880-01-01T00:00:00Z,,,,,,,,cultural heritage monument in Azerbaijan,Бакинский железнодорожный вокзал Ноябрь 2024.jpg,railway station in Azerbaijan,Baku railway station,https://en.wikipedia.org/wiki/Baku_railway_station,True,,poi
Q2612138,Baku Olympic Stadium,40.429766,49.91979,Point(49.91979 40.429766),46,architectural structure,multi-purpose sports venue,2015-05-06T00:00:00Z,2015-03-06T00:00:00Z,,,Heerim Architects & Planners Co.,,,,,,Chelsea won UEFA Europa League final at Olympic Stadium and President Ilham Aliyev watched the final match 16.jpg,"sports stadium in Baku, Azerbaijan",Baku Olympic Stadium,https://en.wikipedia.org/wiki/Baku_Olympic_Stadium,False,,poi
Q1407274,Baku TV Tower,40.351388888,49.823333333,Point(49.823333333 40.351388888),40,building,television tower,1996-07-06T00:00:00Z,,310,,,,,,,,Baku Botanical Garden 60 (cropped).jpg,"a free standing concrete telecommunications tower in Baku, Azerbaijan",Baku TV Tower,https://en.wikipedia.org/wiki/Baku_TV_Tower,True,,poi
Q2664428,National Museum of History of Azerbaijan,40.369477777,49.840122222,Point(49.840122222 40.369477777),40,museum,museum,1920-01-01T00:00:00Z,1921-01-01T00:00:00Z,,,,,,,,,Tağıyevin sarayı 2020.jpg,"museum in Baku, Azerbaijan",National Museum of History of Azerbaijan,https://en.wikipedia.org/wiki/National_Museum_of_History_of_Azerbaijan,True,9.0,poi
Q48623,Azerbaijan State Academic Opera and Ballet Theater,40.374701,49.845397,Point(49.845397 40.374701),39,building,opera house,1920-01-01T00:00:00Z,1911-02-28T00:00:00Z,,"Art Nouveau architecture, Gothic architecture",Nikolai Bayev,,,,,cultural heritage monument in Azerbaijan,"Azerbaijan State Academic Opera and Ballet Theatre main façade, 2015.jpg","opera house in Baku, Azerbaijan",Azerbaijan State Academic Opera and Ballet Theater,https://en.wikipedia.org/wiki/Azerbaijan_State_Academic_Opera_and_Ballet_Theater,True,,poi
Q618714,Baku Crystal Hall,40.344125,49.850336,Point(49.850336 40.344125),39,architectural structure,arena,2012-01-01T00:00:00Z,2012-05-07T00:00:00Z,,Art Nouveau architecture,"Gerkan, Marg and Partners",,,,,,Baku bolvard and flag square 1.JPG,"indoor arena in Baku, Azerbaijan",Baku Crystal Hall,https://en.wikipedia.org/wiki/Baku_Crystal_Hall,True,,poi
Q17004958,Baku City Circuit,40.3725,49.8533,Point(49.8533 40.3725),39,architectural structure,street circuit,,,,,,,,,,,"Aerial View of Baku, May 2012.jpg","motor racing circuit in Baku, Azerbaijan.",Baku City Circuit,https://en.wikipedia.org/wiki/Baku_City_Circuit,True,,poi
Q1138958,Tofiq Bahramov Stadium,40.397333,49.852417,Point(49.852417 40.397333),37,building,association football venue,1951-09-16T00:00:00Z,1951-01-01T00:00:00Z,,,,,,,Tofiq Bahramov,cultural heritage monument in Azerbaijan,"Qarabagh - Young Boys, 27.08.2015 (1).JPG","Stadium in Baku, Azerbaijan",Tofiq Bahramov Republican Stadium,https://en.wikipedia.org/wiki/Tofiq_Bahramov_Republican_Stadium,True,,poi
