row,Name,Latitude,Longitude,Category,dist_m,verdict,current_name
1,Terrace Garden,40.3662813,49.8362609,restaurant,101,renamed,Terrace 145
2,Chay Baghi 145,40.3664441,49.8363514,cafe,102,operational,
3,Best Place,40.3670872,49.8362919,restaurant,102,operational,
4,West End,40.3657574,49.8354981,restaurant,108,renamed,West inn restaurant
5,Çay Bağı,40.3664082,49.8364863,cafe,114,renamed,Chay Baghi 145
6,Costa,40.3660799,49.8366888,cafe,144,chain,
7,Karvansara Restaurant (Buxara side),40.3666923,49.8369908,restaurant,152,unverifiable,
8,La Quzu,40.3677663,49.8363666,restaurant,155,operational,
9,Rast,40.3655228,49.8363484,restaurant,163,renamed,Rast restourant lounge
10,Hanimeli,40.3656076,49.8364884,restaurant,163,unverifiable,
11,Old Garden,40.3674084,49.8370186,restaurant,173,operational,
12,Tatell Baku,40.3675822,49.8368887,cafe,174,operational,
13,Mugam Club Restaurant,40.3656572,49.8367287,restaurant,174,operational,
14,Baklava Sweet House,40.3676312,49.8335289,restaurant,176,unverifiable,
15,cheers cafe baku,40.3679718,49.8339452,restaurant,177,unverifiable,
16,Karvansara Restaurant (Multani side),40.3668872,49.8372898,restaurant,178,unverifiable,
17,bürc qala,40.3677902,49.8336199,restaurant,181,operational,
18,Böyük Manqal,40.3673171,49.8371804,restaurant,181,closed,
19,Cizz-Bizz,40.3683389,49.8350753,restaurant,183,operational,
20,Art Garden Restoran,40.3650657,49.8357144,restaurant,187,operational,
21,Khan's Garden (Baku),40.3679335,49.8369036,park,199,operational,
22,Qazmaq,40.3685134,49.835393,restaurant,203,unverifiable,
23,Azim Azimzadeh Park / Archeological Park,40.3675299,49.8373634,park,205,operational,
24,The Nest Cafe,40.3658243,49.8373374,cafe,206,unverifiable,
25,Qaraca İskəndər,40.3670141,49.8376484,restaurant,211,unverifiable,
26,Qutab house,40.368593,49.835643,cafe,214,unverifiable,
27,Sehirli Tendir,40.3686392,49.8354751,restaurant,217,operational,
28,Mangal,40.3686898,49.8356592,restaurant,225,renamed,Mangal Old
29,Qaynana,40.3686314,49.8359833,restaurant,225,operational,
30,Buta,40.3686844,49.8358396,cafe,227,renamed,Salam Baku
31,Səttar Kafe,40.3666563,49.8378843,cafe,228,unverifiable,
32,Sabir parkı,40.3688176,49.8350053,park,236,operational,
33,🇨🇺Cubar,40.3677899,49.8376114,bar,238,operational,
34,🇮🇹 Volare İtalian Cuisine,40.3679025,49.8375618,restaurant,241,closed,
35,Art Café Mayak-13,40.3666951,49.8323366,cafe,243,operational,
36,Kafe Gallery,40.3645371,49.8347139,cafe,244,closed,
37,Cantinetta Antinori,40.3645214,49.8357742,restaurant,247,closed,
38,Cook Shop Cafe,40.3677494,49.837899,restaurant,257,operational,
39,İçərişəhər Kitabevi & Kafe,40.3643082,49.8348926,cafe,268,operational,
40,Muse Kafe,40.3656044,49.832368,cafe,269,operational,
41,Els Book Cafe,40.3642828,49.8348509,restaurant,271,closed,
42,Dolce Vita Kafe,40.3686053,49.837186,restaurant,271,closed,
43,İçəri Şəhər,40.3655948,49.8323361,restaurant,272,unverifiable,
44,Pizza Locale,40.3678314,49.8380466,restaurant,272,unverifiable,
45,Chaplin House Coffee,40.3691675,49.8343515,cafe,284,operational,
46,Pizza Pizza,40.368466,49.8376512,fast_food,286,chain,
47,Gloria Jean's,40.3692081,49.8344446,cafe,286,chain,
48,Ağ Liliyalar Fontan Bağı,40.367578,49.8384253,park,290,renamed,White Fountain Park
49,Moonlight,40.3651246,49.8324312,restaurant,293,operational,
50,Paris Bistro,40.3679443,49.8382592,restaurant,294,operational,
