wikidata_id,name,primary_class,sitelinks,meters_away
Q4505131,Church of the Holy Virgin,building,12,66.6453108
Q29934120,Boyuk Gala Street,architectural structure,5,79.22546055
Q4160569,Juma Mosque in Baku,mosque,22,79.38784349
Q19799928,Takiya (Ichery Sheher),building,13,80.93162684
Q106169267,Museum of Sacred Relics,museum,6,87.54187993
Q12838048,Beyler Mosque,mosque,16,89.67513704
Q30119475,House-Museum of Tahir Salahov,museum,10,92.07543555
Q2879959,Haji Gayib’s bathhouse,building,10,94.62377261
Q6538185,Lezgi Mosque,mosque,16,98.6314365
Q12837474,Bazar Square,building,11,101.36687072
Q20404595,St. Bartholomew church in Baku,building,4,117.45733497
Q1535049,Muhammad Mosque,mosque,23,120.39508631
Q19798499,Mirza Ahmed Mosque,mosque,11,124.77527342
Q20573552,Baba Kuhi Bakuvi mosque,mosque,15,130.18086391
Q29965119,Asef Zeynali street,architectural structure,5,131.86989852
Q12848886,Two-Storeyed Caravanserai,building,8,132.27029553
Q47487564,Mammadov's Residence,building,7,134.0738083
Q19799922,Madrasa mosque (Ichery Sheher),mosque,6,135.31251306
Q12840947,Small Caravanserai,building,7,137.75142572
Q12842223,Molla Ahmad Mosque,mosque,14,143.62733921
Q12842301,Murad’s Gate,architectural structure,6,146.0890177
Q344569,Old City of Baku,architectural structure,49,146.95977321
Q842822,Maiden Tower,monument,48,149.37339328
Q30116254,House-Museum of Kamil Aliyev,museum,4,159.80680287
Q25536644,Bukhara Caravanserai,building,12,161.93348345
Q12842275,Multani Caravanserai,building,14,161.93348345
Q29994839,Sabir Street,architectural structure,4,172.03038997
Q31271606,Divankhana,monument,10,172.65338683
Q16414684,Shirvanshah's Palace Mausoleum,monument,11,172.65338683
Q12841258,Keygubad Mosque,mosque,14,173.14585537
Q7126183,Palace Mosque,mosque,5,173.45767101
Q12840111,Hajji Bani mosque,mosque,14,175.66953266
Q16417538,Sayyid Yahya Murtuza Mosque,mosque,12,176.21289816
Q4273786,Mausoleum of Seyid Yahya Bakuvi,monument,10,176.9364054
Q338889,Palace of the Shirvanshahs,building,49,185.21931982
Q81913783,Old City Museum Center,museum,4,188.4773591
Q16416097,Museum of Archaeology and Ethnography,museum,12,191.69313246
Q12849537,Sheikh Ibrahim Mosque,mosque,15,197.56730036
Q12847654,Khidir Mosque,mosque,14,198.90695416
Q41692531,Isa bey Hajinski’s House,building,7,200.73611583
Q12847518,Khanlar Mosque,mosque,11,202.24040428
Q1521003,Palatial mosque in Baku,mosque,19,210.36461399
Q21012753,Hajji Heybat mosque,mosque,14,210.60035767
Q12837306,Baku Khans' Palace,building,11,224.36143946
